,trans,tx_brate,tx_pkts,dl_buffer,trans_cls,trans1,from,to,from_to,count,slice,agent,count_norm,tx_brate_norm,tx_pkts_norm,dl_buffer_norm
11,"(36, 9, 5, 2, 2, 0, 36, 9, 5, 1, 2, 2)",-0.04,9.81,-637.21,same-prbs," 36, 9, 5, 2, 2, 0, 36, 9, 5, 1, 2, 2","[' 36', ' 9', ' 5', ' 2', ' 2', ' 0']","[' 36', ' 9', ' 5', ' 1', ' 2', ' 2']","[' 36', ' 9', ' 5', ' 2', ' 2', ' 0', ' 36', ' 9', ' 5', ' 1', ' 2', ' 2']",1,sl0,embb-trf1,0.09999999999999998,1.075247524752475,1.1912424319945425,1.1170585728402231
12,"(36, 3, 11, 1, 2, 2, 36, 3, 11, 2, 0, 1)",-0.02,8.0,1321.42,same-prbs," 36, 3, 11, 1, 2, 2, 36, 3, 11, 2, 0, 1","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 2', ' 0', ' 1']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2', ' 36', ' 3', ' 11', ' 2', ' 0', ' 1']",2,sl0,embb-trf1,0.35,1.085148514851485,1.1758079645263069,1.5756918264029711
13,"(36, 3, 11, 1, 2, 2, 36, 3, 11, 2, 0, 1)",0.02,-4.3,480.93,same-prbs," 36, 3, 11, 1, 2, 2, 36, 3, 11, 2, 0, 1","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 2', ' 0', ' 1']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2', ' 36', ' 3', ' 11', ' 2', ' 0', ' 1']",2,sl0,embb-trf1,0.35,1.1049504950495048,1.0709218043830477,1.378882493712798
14,"(36, 3, 11, 2, 0, 1, 36, 3, 11, 1, 2, 2)",0.02,-8.0,-1321.42,same-prbs," 36, 3, 11, 2, 0, 1, 36, 3, 11, 1, 2, 2","[' 36', ' 3', ' 11', ' 2', ' 0', ' 1']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 2', ' 0', ' 1', ' 36', ' 3', ' 11', ' 1', ' 2', ' 2']",2,sl0,embb-trf1,0.35,1.1049504950495048,1.0393706830391405,0.9568438010762005
15,"(36, 3, 11, 2, 0, 1, 36, 3, 11, 1, 2, 2)",-0.02,4.3,-480.93,same-prbs," 36, 3, 11, 2, 0, 1, 36, 3, 11, 1, 2, 2","[' 36', ' 3', ' 11', ' 2', ' 0', ' 1']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 2', ' 0', ' 1', ' 36', ' 3', ' 11', ' 1', ' 2', ' 2']",2,sl0,embb-trf1,0.35,1.085148514851485,1.1442568431823998,1.1536531337663736
16,"(36, 3, 11, 1, 2, 2, 36, 3, 11, 2, 2, 0)",-0.02,0.89,710.06,same-prbs," 36, 3, 11, 1, 2, 2, 36, 3, 11, 2, 2, 0","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 2', ' 2', ' 0']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2', ' 36', ' 3', ' 11', ' 2', ' 2', ' 0']",1,sl0,embb-trf1,0.09999999999999998,1.085148514851485,1.1151786475654473,1.4325356274791714
17,"(36, 3, 11, 2, 2, 0, 36, 9, 5, 1, 2, 2)",0.06,-104.6,-670.52,distinct," 36, 3, 11, 2, 2, 0, 36, 9, 5, 1, 2, 2","[' 36', ' 3', ' 11', ' 2', ' 2', ' 0']","[' 36', ' 9', ' 5', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 2', ' 2', ' 0', ' 36', ' 9', ' 5', ' 1', ' 2', ' 2']",1,sl0,embb-trf1,0.09999999999999998,1.1247524752475246,0.21563059606037355,1.1092586955401842
18,"(36, 3, 11, 0, 2, 1, 36, 3, 11, 1, 2, 2)",0.01,2.57,-441.0,same-prbs," 36, 3, 11, 0, 2, 1, 36, 3, 11, 1, 2, 2","[' 36', ' 3', ' 11', ' 0', ' 2', ' 1']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 0', ' 2', ' 1', ' 36', ' 3', ' 11', ' 1', ' 2', ' 2']",3,sl0,embb-trf1,0.6,1.1,1.1295045621215998,1.1630031517967117
19,"(36, 3, 11, 0, 2, 1, 36, 3, 11, 1, 2, 2)",-0.1,8.89,2627.33,same-prbs," 36, 3, 11, 0, 2, 1, 36, 3, 11, 1, 2, 2","[' 36', ' 3', ' 11', ' 0', ' 2', ' 1']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 0', ' 2', ' 1', ' 36', ' 3', ' 11', ' 1', ' 2', ' 2']",3,sl0,embb-trf1,0.6,1.0455445544554454,1.1833972883090305,1.8814840138810185
20,"(36, 3, 11, 0, 2, 1, 36, 3, 11, 1, 2, 2)",-0.01,-7.2,-480.93,same-prbs," 36, 3, 11, 0, 2, 1, 36, 3, 11, 1, 2, 2","[' 36', ' 3', ' 11', ' 0', ' 2', ' 1']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 0', ' 2', ' 1', ' 36', ' 3', ' 11', ' 1', ' 2', ' 2']",3,sl0,embb-trf1,0.6,1.0900990099009902,1.0461925471134987,1.1536531337663736
21,"(36, 3, 11, 2, 2, 0, 36, 9, 5, 2, 2, 0)",0.1,-114.41,-33.31,same-pol," 36, 3, 11, 2, 2, 0, 36, 9, 5, 2, 2, 0","[' 36', ' 3', ' 11', ' 2', ' 2', ' 0']","[' 36', ' 9', ' 5', ' 2', ' 2', ' 0']","[' 36', ' 3', ' 11', ' 2', ' 2', ' 0', ' 36', ' 9', ' 5', ' 2', ' 2', ' 0']",1,sl0,embb-trf1,0.09999999999999998,1.1445544554455445,0.13197748784855465,1.2584679364395468
22,"(36, 3, 11, 1, 2, 2, 36, 3, 11, 2, 2, 2)",-0.01,-8.77,-346.58,same-prbs," 36, 3, 11, 1, 2, 2, 36, 3, 11, 2, 2, 2","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 2', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2', ' 36', ' 3', ' 11', ' 2', ' 2', ' 2']",1,sl0,embb-trf1,0.09999999999999998,1.0900990099009902,1.0328046388675705,1.18511256082312
23,"(36, 3, 11, 2, 2, 2, 36, 9, 5, 1, 2, 2)",0.05,-94.94,386.12,distinct," 36, 3, 11, 2, 2, 2, 36, 9, 5, 1, 2, 2","[' 36', ' 3', ' 11', ' 2', ' 2', ' 2']","[' 36', ' 9', ' 5', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 2', ' 2', ' 2', ' 36', ' 9', ' 5', ' 1', ' 2', ' 2']",1,sl0,embb-trf1,0.09999999999999998,1.1198019801980197,0.29800460475825025,1.3566817621962357
24,"(36, 3, 11, 0, 2, 1, 36, 9, 5, 1, 2, 2)",2.02,115.25,-89.62,distinct," 36, 3, 11, 0, 2, 1, 36, 9, 5, 1, 2, 2","[' 36', ' 3', ' 11', ' 0', ' 2', ' 1']","[' 36', ' 9', ' 5', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 0', ' 2', ' 1', ' 36', ' 9', ' 5', ' 1', ' 2', ' 2']",2,sl0,embb-trf1,0.35,2.0950495049504947,2.090364116994969,1.2452823738227596
25,"(36, 3, 11, 0, 2, 1, 36, 9, 5, 1, 2, 2)",-0.06,-94.82,2666.87,distinct," 36, 3, 11, 0, 2, 1, 36, 9, 5, 1, 2, 2","[' 36', ' 3', ' 11', ' 0', ' 2', ' 1']","[' 36', ' 9', ' 5', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 0', ' 2', ' 1', ' 36', ' 9', ' 5', ' 1', ' 2', ' 2']",2,sl0,embb-trf1,0.35,1.0653465346534652,0.29902788436940403,1.8907427094212028
26,"(36, 9, 5, 0, 2, 1, 36, 3, 11, 1, 2, 2)",-0.23,117.27,4270.58,distinct," 36, 9, 5, 0, 2, 1, 36, 3, 11, 1, 2, 2","[' 36', ' 9', ' 5', ' 0', ' 2', ' 1']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 9', ' 5', ' 0', ' 2', ' 1', ' 36', ' 3', ' 11', ' 1', ' 2', ' 2']",1,sl0,embb-trf1,0.09999999999999998,0.9811881188118811,2.1075893237827237,2.266267813739586
27,"(36, 3, 11, 2, 2, 0, 36, 9, 5, 0, 2, 1)",0.25,-118.16,-4980.64,distinct," 36, 3, 11, 2, 2, 0, 36, 9, 5, 0, 2, 1","[' 36', ' 3', ' 11', ' 2', ' 2', ' 0']","[' 36', ' 9', ' 5', ' 0', ' 2', ' 1']","[' 36', ' 3', ' 11', ' 2', ' 2', ' 0', ' 36', ' 9', ' 5', ' 0', ' 2', ' 1']",1,sl0,embb-trf1,0.09999999999999998,1.2188118811881188,0.10000000000000003,0.1
28,"(36, 3, 11, 0, 1, 0, 36, 3, 11, 1, 2, 2)",0.04,-1.18,-280.25,same-prbs," 36, 3, 11, 0, 1, 0, 36, 3, 11, 1, 2, 2","[' 36', ' 3', ' 11', ' 0', ' 1', ' 0']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 0', ' 1', ' 0', ' 36', ' 3', ' 11', ' 1', ' 2', ' 2']",2,sl0,embb-trf1,0.35,1.1148514851485147,1.0975270742730452,1.2006444089561605
29,"(36, 3, 11, 0, 1, 0, 36, 3, 11, 1, 2, 2)",0.01,0.27,586.25,same-prbs," 36, 3, 11, 0, 1, 0, 36, 3, 11, 1, 2, 2","[' 36', ' 3', ' 11', ' 0', ' 1', ' 0']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 0', ' 1', ' 0', ' 36', ' 3', ' 11', ' 1', ' 2', ' 2']",2,sl0,embb-trf1,0.35,1.1,1.1098917029078195,1.403544249258883
